file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
spk01_audio0007,0.0,4.7986875,spk01,-45.68755289713542,-47.57455753144764,4.322370871954001,7.531446939930898
spk01_audio0001,0.0,4.628,spk01,-44.85503847192225,-46.81977971394857,3.0463526111499672,8.30973672177625
spk01_audio0013,0.0,4.2013125,spk01,-42.303292410714285,-46.103186798095706,2.922455648503757,6.887188973968584
spk01_audio0010,0.0,5.0546875,spk01,-48.45934405940594,-50.60115424069491,2.478201576677588,8.186817170263298
spk01_audio0012,0.0,3.7746875,spk01,-41.71623994943634,-43.923954010009766,2.47400919299213,8.977209293185256
spk01_audio0009,0.0,4.628,spk01,-48.17529191414687,-51.00456849733988,2.1864666075588883,8.669324281239923
spk01_audio0002,0.0,4.0306875,spk01,-44.45222355769231,-45.56005681355794,2.079757419915937,6.802056314678195
spk01_audio0015,0.0,3.092,spk01,-41.67848970974919,-43.628539085388184,2.029956294849492,8.969736946271404
spk01_audio0004,0.0,3.604,spk01,-45.67820095486111,-46.51604223251343,1.9535298444550044,9.28619463729136
spk01_audio0003,0.0,3.5186875,spk01,-47.35995760830966,-49.88767492360082,1.8403140103463491,9.862589094023344
spk01_audio0011,0.0,5.3106875,spk01,-46.619140625,-48.51615929603577,1.8329078231587355,8.90041204288055
spk01_audio0008,0.0,5.2253125,spk01,-45.9147907206023,-47.37060484594228,1.6641016786505722,6.970645681961376
spk01_audio0006,0.0,3.0066875,spk01,-41.96398074127907,-41.398782348632814,1.5782416257957483,7.130764363754768
spk01_audio0005,0.0,3.9453125,spk01,-43.140837618670886,-45.594513185562626,1.3769782651481273,8.351518589780259
spk01_audio0014,0.0,3.6893125,spk01,-53.24352663448509,,,5.971428690883673
